negatives
"frozenset({'P83876', 'AndrogenReceptor', 'O75643'})"
"frozenset({'P24043', 'AndrogenReceptor', 'P26006'})"
"frozenset({'P43626', 'P30505', 'AndrogenReceptor'})"
"frozenset({'P35244', 'P61019', 'AndrogenReceptor'})"
"frozenset({'P35244', 'P61978', 'AndrogenReceptor'})"
"frozenset({'Q06210', 'P56192', 'AndrogenReceptor'})"
"frozenset({'Q9NR30', 'AndrogenReceptor', 'Q29RF7'})"
"frozenset({'P62714', 'Q15831', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P21359', 'Q9BQK8'})"
"frozenset({'P49407', 'AndrogenReceptor', 'P98175'})"
"frozenset({'AndrogenReceptor', 'P12830', 'Q96PY5'})"
"frozenset({'Q9P2N7', 'Q1MSJ5', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P27824', 'P14868'})"
"frozenset({'Q92522', 'Q8IYW5', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q13885', 'Q96CW1'})"
"frozenset({'Q92905', 'Q8WWY3', 'AndrogenReceptor'})"
"frozenset({'P60891', 'AndrogenReceptor', 'Q9Y3A5'})"
"frozenset({'Q6R327', 'Q9BPZ7', 'AndrogenReceptor'})"
"frozenset({'P57078', 'Q9P0U3', 'AndrogenReceptor'})"
"frozenset({'Q99816', 'AndrogenReceptor', 'Q92748'})"
"frozenset({'Q8NA54', 'AndrogenReceptor', 'Q9UGI0'})"
"frozenset({'Q8NEU8', 'AndrogenReceptor', 'O94776'})"
"frozenset({'O43865', 'O60493', 'AndrogenReceptor'})"
"frozenset({'P06213', 'P02765', 'AndrogenReceptor'})"
"frozenset({'O00755', 'Q8N474', 'AndrogenReceptor'})"
"frozenset({'P17612', 'AndrogenReceptor', 'Q8NGK6'})"
"frozenset({'Q9NRL3', 'Q9P2B4', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P24941', 'P19338'})"
"frozenset({'Q9UKV8', 'P31949', 'AndrogenReceptor'})"
"frozenset({'P35237', 'Q9BY32', 'AndrogenReceptor'})"
"frozenset({'O60716', 'AndrogenReceptor', 'P63261'})"
"frozenset({'P56524', 'AndrogenReceptor', 'Q14012'})"
"frozenset({'AndrogenReceptor', 'O95863', 'P05814'})"
"frozenset({'P27348', 'AndrogenReceptor', 'Q71DI3'})"
"frozenset({'O60488', 'Q9BUP3', 'AndrogenReceptor'})"
"frozenset({'P55854', 'AndrogenReceptor', 'Q9HAU5'})"
"frozenset({'P03901', 'AndrogenReceptor', 'P43220'})"
"frozenset({'Q8TB22', 'AndrogenReceptor', 'Q86SX6'})"
"frozenset({'Q5JPE7', 'Q9HCE1', 'AndrogenReceptor'})"
"frozenset({'Q9UHD8', 'AndrogenReceptor', 'Q13573'})"
"frozenset({'AndrogenReceptor', 'Q9UBB9', 'Q6W0C5'})"
"frozenset({'O43524', 'O14793', 'AndrogenReceptor'})"
"frozenset({'Q07820', 'P07948', 'AndrogenReceptor'})"
"frozenset({'Q9ULZ2', 'AndrogenReceptor', 'P47756'})"
"frozenset({'P10415', 'AndrogenReceptor', 'Q9Y287'})"
"frozenset({'Q09470', 'AndrogenReceptor', 'Q9NQC3'})"
"frozenset({'Q8WWB3', 'AndrogenReceptor', 'Q14738'})"
"frozenset({'AndrogenReceptor', 'P20591', 'Q14653'})"
"frozenset({'AndrogenReceptor', 'Q9H4L7', 'Q9BS31'})"
"frozenset({'Q8IWL3', 'Q92841', 'AndrogenReceptor'})"
"frozenset({'P01100', 'AndrogenReceptor', 'Q8N6T3'})"
"frozenset({'AndrogenReceptor', 'P07900', 'Q05397'})"
"frozenset({'Q9NR28', 'AndrogenReceptor', 'O15033'})"
"frozenset({'P49286', 'AndrogenReceptor', 'P28482'})"
"frozenset({'P15880', 'AndrogenReceptor', 'P62424'})"
"frozenset({'Q9H492', 'AndrogenReceptor', 'Q08170'})"
"frozenset({'Q96B02', 'AndrogenReceptor', 'P98170'})"
"frozenset({'P27824', 'AndrogenReceptor', 'Q6P1J9'})"
"frozenset({'O14980', 'AndrogenReceptor', 'O94887'})"
"frozenset({'AndrogenReceptor', 'P32242', 'P60411'})"
"frozenset({'Q9P035', 'Q96CS3', 'AndrogenReceptor'})"
"frozenset({'P37802', 'Q9HCE1', 'AndrogenReceptor'})"
"frozenset({'P03901', 'O75438', 'AndrogenReceptor'})"
"frozenset({'O14974', 'AndrogenReceptor', 'Q13464'})"
"frozenset({'AndrogenReceptor', 'P60370', 'Q9BS34'})"
"frozenset({'Q99598', 'P26583', 'AndrogenReceptor'})"
"frozenset({'Q8N5R6', 'AndrogenReceptor', 'Q8TD10'})"
"frozenset({'O94916', 'P00519', 'AndrogenReceptor'})"
"frozenset({'Q6IN85', 'AndrogenReceptor', 'O43390'})"
"frozenset({'P26583', 'AndrogenReceptor', 'P19838'})"
"frozenset({'P04049', 'AndrogenReceptor', 'Q9UPT6'})"
"frozenset({'Q14155', 'AndrogenReceptor', 'P41227'})"
"frozenset({'Q8IXK0', 'Q13643', 'AndrogenReceptor'})"
"frozenset({'P58107', 'AndrogenReceptor', 'Q13573'})"
"frozenset({'Q9C086', 'AndrogenReceptor', 'A6NEM1'})"
"frozenset({'Q14765', 'AndrogenReceptor', 'Q13263'})"
"frozenset({'P51665', 'P28072', 'AndrogenReceptor'})"
"frozenset({'Q9NWB6', 'P08621', 'AndrogenReceptor'})"
"frozenset({'Q00534', 'AndrogenReceptor', 'P46063'})"
"frozenset({'O14544', 'AndrogenReceptor', 'Q6ZRV2'})"
"frozenset({'P60410', 'AndrogenReceptor', 'Q6IB77'})"
"frozenset({'P98077', 'P35968', 'AndrogenReceptor'})"
"frozenset({'P11021', 'AndrogenReceptor', 'P04350'})"
"frozenset({'Q7Z4G1', 'O75461', 'AndrogenReceptor'})"
"frozenset({'Q92905', 'Q86XK2', 'AndrogenReceptor'})"
"frozenset({'Q96QV6', 'AndrogenReceptor', 'Q96RL1'})"
"frozenset({'Q96MX6', 'AndrogenReceptor', 'O75344'})"
"frozenset({'P30086', 'Q9NRG4', 'AndrogenReceptor'})"
"frozenset({'Q01844', 'P27797', 'AndrogenReceptor'})"
"frozenset({'Q9BT67', 'AndrogenReceptor', 'P60484'})"
"frozenset({'AndrogenReceptor', 'Q9UHQ1', 'Q96T76'})"
"frozenset({'AndrogenReceptor', 'P22301', 'P10912'})"
"frozenset({'Q05513', 'AndrogenReceptor', 'P23458'})"
"frozenset({'Q96RK4', 'AndrogenReceptor', 'P60709'})"
"frozenset({'Q13261', 'P01579', 'AndrogenReceptor'})"
"frozenset({'Q5TAQ9', 'AndrogenReceptor', 'O14744'})"
"frozenset({'P52630', 'P32455', 'AndrogenReceptor'})"
"frozenset({'P11586', 'Q9NQW7', 'AndrogenReceptor'})"
"frozenset({'P36402', 'AndrogenReceptor', 'O75177'})"
"frozenset({'Q96J84', 'AndrogenReceptor', 'P62993'})"
"frozenset({'Q16695', 'Q13489', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P04637', 'Q7LG56'})"
"frozenset({'P78559', 'AndrogenReceptor', 'O43747'})"
"frozenset({'Q5JS37', 'Q6PK18', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'F7VJQ1', 'Q8TAI1'})"
"frozenset({'Q7L5N1', 'AndrogenReceptor', 'Q01546'})"
"frozenset({'P06241', 'AndrogenReceptor', 'Q9Y2J2'})"
"frozenset({'P33992', 'AndrogenReceptor', 'Q9H0A0'})"
"frozenset({'P37840', 'AndrogenReceptor', 'Q9BRK5'})"
"frozenset({'AndrogenReceptor', 'P04637', 'Q14694'})"
"frozenset({'Q9UNX3', 'AndrogenReceptor', 'P62987'})"
"frozenset({'AndrogenReceptor', 'P49736', 'Q8WWC4'})"
"frozenset({'P21333', 'P00973', 'AndrogenReceptor'})"
"frozenset({'Q9NX58', 'AndrogenReceptor', 'Q9H190'})"
"frozenset({'AndrogenReceptor', 'P05067', 'O75069'})"
"frozenset({'P0DPA2', 'Q6K0P9', 'AndrogenReceptor'})"
"frozenset({'Q8N9Q2', 'AndrogenReceptor', 'Q9NRZ7'})"
"frozenset({'Q07889', 'AndrogenReceptor', 'O15520'})"
"frozenset({'P27348', 'AndrogenReceptor', 'O00308'})"
"frozenset({'Q96LL4', 'Q15834', 'AndrogenReceptor'})"
"frozenset({'Q8IVT5', 'Q9Y3M2', 'AndrogenReceptor'})"
"frozenset({'Q14457', 'AndrogenReceptor', 'Q9NX02'})"
"frozenset({'O95073', 'Q8N8B7', 'AndrogenReceptor'})"
"frozenset({'Q9BZJ0', 'AndrogenReceptor', 'Q9NRI5'})"
"frozenset({'Q8IZT6', 'AndrogenReceptor', 'Q9BVA0'})"
"frozenset({'Q96BA8', 'Q9NP94', 'AndrogenReceptor'})"
"frozenset({'P27695', 'O94761', 'AndrogenReceptor'})"
"frozenset({'Q8IWX8', 'P08621', 'AndrogenReceptor'})"
"frozenset({'P84098', 'AndrogenReceptor', 'P27635'})"
"frozenset({'AndrogenReceptor', 'P43364', 'Q96T60'})"
"frozenset({'P10109', 'AndrogenReceptor', 'P43354'})"
"frozenset({'Q8NH02', 'AndrogenReceptor', 'O60262'})"
"frozenset({'P54274', 'AndrogenReceptor', 'Q7Z4V5'})"
"frozenset({'Q13635', 'Q9UKY4', 'AndrogenReceptor'})"
"frozenset({'P61244', 'Q9BW11', 'AndrogenReceptor'})"
"frozenset({'Q99650', 'AndrogenReceptor', 'Q8IZJ0'})"
"frozenset({'P63261', 'AndrogenReceptor', 'Q15022'})"
"frozenset({'Q02297', 'AndrogenReceptor', 'O94955'})"
"frozenset({'P55196', 'Q04721', 'AndrogenReceptor'})"
"frozenset({'P10909', 'AndrogenReceptor', 'P46379'})"
"frozenset({'P17612', 'Q8NH42', 'AndrogenReceptor'})"
"frozenset({'P04629', 'AndrogenReceptor', 'Q13410'})"
"frozenset({'Q9P1U1', 'P11802', 'AndrogenReceptor'})"
"frozenset({'Q5PSV4', 'AndrogenReceptor', 'Q05195'})"
"frozenset({'Q96AW1', 'AndrogenReceptor', 'Q5JY77'})"
"frozenset({'O14980', 'P34931', 'AndrogenReceptor'})"
"frozenset({'Q16777', 'Q9BXA6', 'AndrogenReceptor'})"
"frozenset({'P46778', 'AndrogenReceptor', 'P62987'})"
"frozenset({'P14373', 'AndrogenReceptor', 'P25800'})"
"frozenset({'P61224', 'Q12967', 'AndrogenReceptor'})"
"frozenset({'P55072', 'AndrogenReceptor', 'Q9NX58'})"
"frozenset({'AndrogenReceptor', 'P28702', 'Q9UHV7'})"
"frozenset({'P01106', 'AndrogenReceptor', 'Q96BD8'})"
"frozenset({'P07307', 'Q96S16', 'AndrogenReceptor'})"
"frozenset({'P05771', 'Q08462', 'AndrogenReceptor'})"
"frozenset({'Q04206', 'AndrogenReceptor', 'Q00796'})"
"frozenset({'Q9Y3I0', 'AndrogenReceptor', 'P68402'})"
"frozenset({'Q15527', 'O60512', 'AndrogenReceptor'})"
"frozenset({'Q8IUQ4', 'AndrogenReceptor', 'Q8TBK6'})"
"frozenset({'Q9NYV4', 'Q9BYQ3', 'AndrogenReceptor'})"
"frozenset({'Q8N3Y1', 'Q92918', 'AndrogenReceptor'})"
"frozenset({'Q8ND90', 'AndrogenReceptor', 'P62736'})"
"frozenset({'Q9UBI1', 'Q7Z3J2', 'AndrogenReceptor'})"
"frozenset({'P63092', 'AndrogenReceptor', 'Q6IQ23'})"
"frozenset({'A6NHR9', 'Q99728', 'AndrogenReceptor'})"
"frozenset({'P09960', 'AndrogenReceptor', 'P30480'})"
"frozenset({'AndrogenReceptor', 'Q9HCE7', 'Q9NZ63'})"
"frozenset({'P0C2W1', 'O15350', 'AndrogenReceptor'})"
"frozenset({'Q14344', 'Q8N1W1', 'AndrogenReceptor'})"
"frozenset({'Q9H9G7', 'AndrogenReceptor', 'P68104'})"
"frozenset({'Q9BSG5', 'AndrogenReceptor', 'Q9NR09'})"
"frozenset({'Q9UL62', 'Q13873', 'AndrogenReceptor'})"
"frozenset({'Q9BYD6', 'Q6P1L8', 'AndrogenReceptor'})"
"frozenset({'O00244', 'P30711', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P35900', 'Q8IYI6'})"
"frozenset({'P13010', 'AndrogenReceptor', 'Q13464'})"
"frozenset({'P08621', 'AndrogenReceptor', 'Q01130'})"
"frozenset({'AndrogenReceptor', 'P09211', 'P60369'})"
"frozenset({'P78552', 'AndrogenReceptor', 'O60674'})"
"frozenset({'O95273', 'AndrogenReceptor', 'A0PK00'})"
"frozenset({'Q12906', 'AndrogenReceptor', 'Q8NHW5'})"
"frozenset({'P56945', 'Q96PU4', 'AndrogenReceptor'})"
"frozenset({'P10276', 'AndrogenReceptor', 'P09874'})"
"frozenset({'O60307', 'AndrogenReceptor', 'Q99959'})"
"frozenset({'P11142', 'Q8NC60', 'AndrogenReceptor'})"
"frozenset({'P40189', 'AndrogenReceptor', 'O60674'})"
"frozenset({'Q9H244', 'AndrogenReceptor', 'Q5SRH9'})"
"frozenset({'P17021', 'AndrogenReceptor', 'Q9UGI0'})"
"frozenset({'P57078', 'AndrogenReceptor', 'P26639'})"
"frozenset({'AndrogenReceptor', 'P19174', 'Q13492'})"
"frozenset({'AndrogenReceptor', 'P35222', 'P33151'})"
"frozenset({'P17931', 'P00533', 'AndrogenReceptor'})"
"frozenset({'P61221', 'AndrogenReceptor', 'P42785'})"
"frozenset({'Q8NDC4', 'AndrogenReceptor', 'Q96DX7'})"
"frozenset({'AndrogenReceptor', 'O75147', 'P57740'})"
"frozenset({'Q99877', 'Q96GD4', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9Y2W2', 'Q15811'})"
"frozenset({'Q9Y5Q8', 'Q8WUA4', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q3MJ62', 'O75386'})"
"frozenset({'O60869', 'Q13133', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P05067', 'Q8IXK2'})"
"frozenset({'Q9P0I2', 'AndrogenReceptor', 'Q6UWR7'})"
"frozenset({'Q969H0', 'Q9UKT4', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P29353', 'Q05209'})"
"frozenset({'P35968', 'AndrogenReceptor', 'O60674'})"
"frozenset({'P63167', 'AndrogenReceptor', 'O43521'})"
"frozenset({'Q9H1R3', 'AndrogenReceptor', 'P10916'})"
"frozenset({'Q15428', 'AndrogenReceptor', 'Q86VM9'})"
"frozenset({'AndrogenReceptor', 'O14561', 'O95178'})"
"frozenset({'Q9BZW8', 'AndrogenReceptor', 'O94822'})"
"frozenset({'P0DP23', 'AndrogenReceptor', 'Q04864'})"
"frozenset({'O15492', 'P07948', 'AndrogenReceptor'})"
"frozenset({'P17275', 'O15525', 'AndrogenReceptor'})"
"frozenset({'Q9Y4X0', 'AndrogenReceptor', 'Q8WUA2'})"
"frozenset({'AndrogenReceptor', 'Q14999', 'Q15424'})"
"frozenset({'P00451', 'AndrogenReceptor', 'P07225'})"
"frozenset({'AndrogenReceptor', 'P20827', 'P17948'})"
"frozenset({'P28074', 'AndrogenReceptor', 'Q15008'})"
"frozenset({'P20226', 'Q8IYW5', 'AndrogenReceptor'})"
"frozenset({'Q86UW6', 'Q68CZ1', 'AndrogenReceptor'})"
"frozenset({'P31943', 'Q15287', 'AndrogenReceptor'})"
"frozenset({'Q5VWK5', 'AndrogenReceptor', 'P26441'})"
"frozenset({'P01375', 'AndrogenReceptor', 'Q9BZS1'})"
"frozenset({'P78371', 'P35998', 'AndrogenReceptor'})"
"frozenset({'Q9H3N1', 'AndrogenReceptor', 'Q92900'})"
"frozenset({'AndrogenReceptor', 'P23528', 'Q14914'})"
"frozenset({'P13612', 'AndrogenReceptor', 'P26006'})"
"frozenset({'P28066', 'AndrogenReceptor', 'P54105'})"
"frozenset({'Q9UKA1', 'AndrogenReceptor', 'P53350'})"
"frozenset({'Q9UJX3', 'O43638', 'AndrogenReceptor'})"
"frozenset({'P30519', 'P06576', 'AndrogenReceptor'})"
"frozenset({'Q96CS3', 'AndrogenReceptor', 'P46379'})"
"frozenset({'AndrogenReceptor', 'Q9UJU6', 'P23528'})"
"frozenset({'AndrogenReceptor', 'Q02962', 'Q9UQF2'})"
"frozenset({'P00558', 'AndrogenReceptor', 'P28482'})"
"frozenset({'Q6RW13', 'AndrogenReceptor', 'P63279'})"
"frozenset({'AndrogenReceptor', 'Q92624', 'Q9UK58'})"
"frozenset({'Q8IWZ5', 'Q9NX04', 'AndrogenReceptor'})"
"frozenset({'Q9BZP6', 'P38405', 'AndrogenReceptor'})"
"frozenset({'Q8TAT6', 'P11441', 'AndrogenReceptor'})"
"frozenset({'Q6IPR1', 'AndrogenReceptor', 'Q9H2W6'})"
"frozenset({'Q9P021', 'AndrogenReceptor', 'Q15717'})"
"frozenset({'Q96JH7', 'Q9HCE1', 'AndrogenReceptor'})"
"frozenset({'P51665', 'AndrogenReceptor', 'O00487'})"
"frozenset({'Q93009', 'AndrogenReceptor', 'Q01804'})"
"frozenset({'AndrogenReceptor', 'Q07973', 'Q99966'})"
"frozenset({'P00338', 'AndrogenReceptor', 'O15264'})"
"frozenset({'P18206', 'Q9NX18', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9UNH7', 'O60346'})"
"frozenset({'Q9Y4G6', 'AndrogenReceptor', 'O75578'})"
"frozenset({'Q9NZ94', 'AndrogenReceptor', 'Q9H4A9'})"
"frozenset({'Q15018', 'AndrogenReceptor', 'Q14980'})"
"frozenset({'Q12952', 'AndrogenReceptor', 'Q13416'})"
"frozenset({'Q13315', 'Q6P0N0', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P68431', 'P10809'})"
"frozenset({'P41182', 'AndrogenReceptor', 'Q9UPT6'})"
"frozenset({'P45983', 'AndrogenReceptor', 'P42771'})"
"frozenset({'O95777', 'AndrogenReceptor', 'P38935'})"
"frozenset({'Q96I34', 'Q96PN8', 'AndrogenReceptor'})"
"frozenset({'Q8IXB3', 'O14787', 'AndrogenReceptor'})"
"frozenset({'P01375', 'AndrogenReceptor', 'P20339'})"
"frozenset({'AndrogenReceptor', 'P29275', 'O95467'})"
"frozenset({'Q96DH6', 'AndrogenReceptor', 'P19320'})"
"frozenset({'Q8N2S1', 'AndrogenReceptor', 'Q8N8Y5'})"
"frozenset({'P46778', 'P27348', 'AndrogenReceptor'})"
"frozenset({'P62888', 'AndrogenReceptor', 'P62241'})"
"frozenset({'P60763', 'AndrogenReceptor', 'P42336'})"
"frozenset({'P23396', 'AndrogenReceptor', 'P61254'})"
"frozenset({'P07196', 'AndrogenReceptor', 'Q8NB12'})"
"frozenset({'Q8TAU3', 'O43463', 'AndrogenReceptor'})"
"frozenset({'P28749', 'Q9BUH8', 'AndrogenReceptor'})"
"frozenset({'P30405', 'P29558', 'AndrogenReceptor'})"
"frozenset({'Q6PKX4', 'Q96SF7', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P0DMV9', 'Q14324'})"
"frozenset({'Q68DK7', 'AndrogenReceptor', 'Q9Y3D0'})"
"frozenset({'P62879', 'AndrogenReceptor', 'Q9HBW0'})"
"frozenset({'Q9P2M7', 'AndrogenReceptor', 'Q6ZV73'})"
"frozenset({'Q92504', 'AndrogenReceptor', 'Q5T751'})"
"frozenset({'P61421', 'AndrogenReceptor', 'P30049'})"
"frozenset({'Q13123', 'AndrogenReceptor', 'Q9BV38'})"
"frozenset({'Q9UMX1', 'AndrogenReceptor', 'O00422'})"
"frozenset({'Q96ID5', 'AndrogenReceptor', 'Q15102'})"
"frozenset({'Q13426', 'AndrogenReceptor', 'P11308'})"
"frozenset({'P54619', 'AndrogenReceptor', 'O00418'})"
"frozenset({'Q05682', 'AndrogenReceptor', 'P05412'})"
"frozenset({'AndrogenReceptor', 'P63279', 'Q9Y371'})"
"frozenset({'P05813', 'P26998', 'AndrogenReceptor'})"
"frozenset({'P03372', 'O60244', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q99613', 'P62701'})"
"frozenset({'O94966', 'AndrogenReceptor', 'Q99496'})"
"frozenset({'Q9H1A3', 'Q9NRX5', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q99750', 'Q9NUL5'})"
"frozenset({'Q9UM54', 'O94973', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9UHL9', 'P55157'})"
"frozenset({'Q13363', 'AndrogenReceptor', 'P42858'})"
"frozenset({'Q16777', 'Q9UQL6', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O95967', 'Q5T751'})"
"frozenset({'Q13315', 'Q8N5Z5', 'AndrogenReceptor'})"
"frozenset({'Q09161', 'AndrogenReceptor', 'O15504'})"
"frozenset({'Q9UBP5', 'AndrogenReceptor', 'Q9BUZ4'})"
"frozenset({'Q13123', 'AndrogenReceptor', 'P05067'})"
"frozenset({'AndrogenReceptor', 'P26038', 'O14732'})"
"frozenset({'P40337', 'Q96B26', 'AndrogenReceptor'})"
"frozenset({'Q15050', 'Q02543', 'AndrogenReceptor'})"
"frozenset({'Q13177', 'AndrogenReceptor', 'Q86YV6'})"
"frozenset({'P23458', 'AndrogenReceptor', 'P15509'})"
"frozenset({'Q16539', 'P85037', 'AndrogenReceptor'})"
"frozenset({'Q86YM7', 'AndrogenReceptor', 'Q6PIF2'})"
"frozenset({'P50990', 'AndrogenReceptor', 'Q8TF42'})"
"frozenset({'P60953', 'AndrogenReceptor', 'O14639'})"
"frozenset({'P29972', 'Q5T700', 'AndrogenReceptor'})"
"frozenset({'Q9NVI7', 'O95466', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P67870', 'P16220'})"
"frozenset({'Q9H0H5', 'Q8IUD2', 'AndrogenReceptor'})"
"frozenset({'P68363', 'Q9BQE3', 'AndrogenReceptor'})"
"frozenset({'Q8WU58', 'AndrogenReceptor', 'Q9NP55'})"
"frozenset({'P20585', 'AndrogenReceptor', 'Q10586'})"
"frozenset({'P17301', 'AndrogenReceptor', 'P42336'})"
"frozenset({'P22314', 'AndrogenReceptor', 'Q96FW1'})"
"frozenset({'Q14676', 'AndrogenReceptor', 'P78317'})"
"frozenset({'O14980', 'AndrogenReceptor', 'Q2NKX9'})"
"frozenset({'Q5JRS4', 'P49407', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9H9T3', 'Q8TE02'})"
"frozenset({'Q9Y478', 'Q01844', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P63162', 'Q9NWB1'})"
"frozenset({'P56524', 'AndrogenReceptor', 'Q5QNW6'})"
"frozenset({'AndrogenReceptor', 'P22612', 'P04899'})"
"frozenset({'P08575', 'AndrogenReceptor', 'P20273'})"
"frozenset({'P09919', 'AndrogenReceptor', 'P16871'})"
"frozenset({'P04629', 'AndrogenReceptor', 'P24534'})"
"frozenset({'Q8N163', 'Q9H9E1', 'AndrogenReceptor'})"
"frozenset({'P62266', 'P62917', 'AndrogenReceptor'})"
"frozenset({'P25786', 'O15344', 'AndrogenReceptor'})"
"frozenset({'P0C0S8', 'Q86VP6', 'AndrogenReceptor'})"
"frozenset({'Q71UI9', 'AndrogenReceptor', 'Q8WUI4'})"
"frozenset({'P01106', 'AndrogenReceptor', 'O75081'})"
"frozenset({'Q13435', 'Q9UJV9', 'AndrogenReceptor'})"
"frozenset({'O00571', 'AndrogenReceptor', 'P01730'})"
"frozenset({'Q15365', 'AndrogenReceptor', 'P19320'})"
"frozenset({'Q8NCN2', 'AndrogenReceptor', 'Q9P0K8'})"
"frozenset({'O43251', 'Q9BTD8', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O95630', 'Q9HAU4'})"
"frozenset({'O75832', 'AndrogenReceptor', 'P54578'})"
"frozenset({'Q96EV8', 'O60645', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P49761', 'P0DJD3'})"
"frozenset({'P14222', 'AndrogenReceptor', 'Q9BYV2'})"
"frozenset({'P31321', 'P17612', 'AndrogenReceptor'})"
"frozenset({'Q9NYG2', 'AndrogenReceptor', 'Q15797'})"
"frozenset({'P29375', 'AndrogenReceptor', 'Q01167'})"
"frozenset({'AndrogenReceptor', 'Q9Y3B7', 'P39210'})"
"frozenset({'AndrogenReceptor', 'P68366', 'Q86YD3'})"
"frozenset({'P14635', 'AndrogenReceptor', 'Q01538'})"
"frozenset({'P62745', 'AndrogenReceptor', 'P63000'})"
"frozenset({'O75122', 'AndrogenReceptor', 'Q9UHY8'})"
"frozenset({'O75396', 'Q96FQ6', 'AndrogenReceptor'})"
"frozenset({'Q6IPU0', 'Q6P597', 'AndrogenReceptor'})"
"frozenset({'P21580', 'AndrogenReceptor', 'Q96KP6'})"
"frozenset({'AndrogenReceptor', 'Q5T5U3', 'Q13360'})"
"frozenset({'Q9UDY2', 'P32745', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P49406', 'O60732'})"
"frozenset({'Q9NVD7', 'Q9UKX5', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q8WZ42', 'Q96EZ8'})"
"frozenset({'P07202', 'Q5VWK5', 'AndrogenReceptor'})"
"frozenset({'Q05516', 'Q15834', 'AndrogenReceptor'})"
"frozenset({'O43795', 'B0YJ81', 'AndrogenReceptor'})"
"frozenset({'P61960', 'P35270', 'AndrogenReceptor'})"
"frozenset({'P04629', 'Q14697', 'AndrogenReceptor'})"
"frozenset({'P51148', 'AndrogenReceptor', 'Q15075'})"
"frozenset({'AndrogenReceptor', 'P49674', 'P35222'})"
"frozenset({'P08238', 'AndrogenReceptor', 'Q2M1V0'})"
"frozenset({'P30519', 'P62879', 'AndrogenReceptor'})"
"frozenset({'Q9UBP0', 'P02768', 'AndrogenReceptor'})"
"frozenset({'Q13315', 'Q9NTI5', 'AndrogenReceptor'})"
"frozenset({'Q8WXH6', 'P61289', 'AndrogenReceptor'})"
"frozenset({'Q93098', 'AndrogenReceptor', 'O95813'})"
"frozenset({'Q92905', 'AndrogenReceptor', 'Q99714'})"
"frozenset({'Q13077', 'Q07021', 'AndrogenReceptor'})"
"frozenset({'Q8IVL6', 'AndrogenReceptor', 'P22304'})"
"frozenset({'AndrogenReceptor', 'P55212', 'P08670'})"
"frozenset({'Q9HAW0', 'AndrogenReceptor', 'O95831'})"
"frozenset({'P31947', 'P09012', 'AndrogenReceptor'})"
"frozenset({'O14653', 'Q01968', 'AndrogenReceptor'})"
"frozenset({'P39656', 'AndrogenReceptor', 'Q9Y679'})"
"frozenset({'P25786', 'AndrogenReceptor', 'P43686'})"
"frozenset({'P61952', 'Q96PN6', 'AndrogenReceptor'})"
"frozenset({'P09493', 'Q8TDM6', 'AndrogenReceptor'})"
"frozenset({'P48047', 'P56537', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P19320', 'P00338'})"
"frozenset({'Q6ZU80', 'Q9UPQ9', 'AndrogenReceptor'})"
"frozenset({'Q86VE0', 'P59991', 'AndrogenReceptor'})"
"frozenset({'P43405', 'P14317', 'AndrogenReceptor'})"
"frozenset({'Q8NHQ8', 'P61981', 'AndrogenReceptor'})"
"frozenset({'P31146', 'Q14161', 'AndrogenReceptor'})"
"frozenset({'Q9Y385', 'AndrogenReceptor', 'Q15717'})"
"frozenset({'P52569', 'AndrogenReceptor', 'Q9Y279'})"
"frozenset({'Q13285', 'AndrogenReceptor', 'P27986'})"
"frozenset({'Q15691', 'Q15555', 'AndrogenReceptor'})"
"frozenset({'P20700', 'AndrogenReceptor', 'Q96RG2'})"
"frozenset({'P50222', 'AndrogenReceptor', 'O75716'})"
"frozenset({'P28799', 'AndrogenReceptor', 'P03973'})"
